GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,476,GSW,S. Curry makes 2-pt jump shot from 8 ft,8,SAS,,4,S. Curry - GSW,2-pt jump shot,make,8,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,415,GSW,S. Curry makes 2-pt layup from 2 ft,13,SAS,,7,S. Curry - GSW,2-pt layup,make,2,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,323,GSW,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),21,SAS,,7,S. Curry - GSW,2-pt layup,make,3,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,216,GSW,S. Curry misses 3-pt jump shot from 25 ft,21,SAS,,11,S. Curry - GSW,3-pt jump shot,miss,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,165,GSW,S. Curry misses 3-pt jump shot from 23 ft,21,SAS,,15,S. Curry - GSW,3-pt jump shot,miss,23,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,159,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),24,SAS,,15,S. Curry - GSW,3-pt jump shot,make,25,A. Iguodala - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,108,GSW,S. Curry misses 3-pt jump shot from 24 ft,24,SAS,,17,S. Curry - GSW,3-pt jump shot,miss,24,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,31,GSW,S. Curry makes 2-pt layup from 2 ft,31,SAS,,19,S. Curry - GSW,2-pt layup,make,2,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,0,GSW,S. Curry misses 3-pt jump shot from 25 ft,31,SAS,,19,S. Curry - GSW,3-pt jump shot,miss,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,93,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),62,SAS,,46,S. Curry - GSW,3-pt jump shot,make,25,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,69,GSW,S. Curry makes 2-pt jump shot from 7 ft (assist by D. Green),64,SAS,,49,S. Curry - GSW,2-pt jump shot,make,7,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,565,GSW,S. Curry misses 2-pt jump shot from 16 ft,73,SAS,,56,S. Curry - GSW,2-pt jump shot,miss,16,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,397,GSW,S. Curry misses 3-pt jump shot from 25 ft,78,SAS,,60,S. Curry - GSW,3-pt jump shot,miss,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,361,GSW,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),80,SAS,,62,S. Curry - GSW,2-pt layup,make,2,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,309,GSW,S. Curry misses 3-pt jump shot from 25 ft,80,SAS,,64,S. Curry - GSW,3-pt jump shot,miss,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,211,GSW,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),85,SAS,,71,S. Curry - GSW,3-pt jump shot,make,24,K. Durant - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,78,GSW,S. Curry makes 3-pt jump shot from 25 ft,93,SAS,,75,S. Curry - GSW,3-pt jump shot,make,25,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,32,GSW,S. Curry misses 3-pt jump shot from 26 ft,95,SAS,,76,S. Curry - GSW,3-pt jump shot,miss,26,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,318,GSW,S. Curry misses 2-pt layup from 2 ft,115,SAS,,100,S. Curry - GSW,2-pt layup,miss,2,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,284,GSW,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),118,SAS,,102,S. Curry - GSW,3-pt jump shot,make,24,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,213,GSW,S. Curry makes 2-pt jump shot from 22 ft,122,SAS,,106,S. Curry - GSW,2-pt jump shot,make,22,
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,145,GSW,S. Curry makes 2-pt layup from 5 ft,124,SAS,,108,S. Curry - GSW,2-pt layup,make,5,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,587,MIN,,4,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),10,S. Curry - GSW,3-pt jump shot,make,25,K. Thompson - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,494,MIN,,9,GSW,S. Curry makes 2-pt jump shot from 15 ft (assist by K. Durant),16,S. Curry - GSW,2-pt jump shot,make,15,K. Durant - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,479,MIN,,9,GSW,S. Curry misses 3-pt jump shot from 31 ft,16,S. Curry - GSW,3-pt jump shot,miss,31,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,194,MIN,,22,GSW,S. Curry makes 2-pt jump shot from 10 ft,24,S. Curry - GSW,2-pt jump shot,make,10,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,161,MIN,,24,GSW,S. Curry makes 2-pt jump shot from 3 ft,26,S. Curry - GSW,2-pt jump shot,make,3,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,104,MIN,,29,GSW,S. Curry misses 3-pt jump shot from 27 ft,26,S. Curry - GSW,3-pt jump shot,miss,27,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,58,MIN,,31,GSW,S. Curry makes 2-pt jump shot from 9 ft,28,S. Curry - GSW,2-pt jump shot,make,9,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,1,31,MIN,,33,GSW,S. Curry misses 2-pt layup from 2 ft,28,S. Curry - GSW,2-pt layup,miss,2,
