GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,256,GSW,D. Green makes 2-pt dunk at rim (assist by K. Thompson),40,WAS,,51,D. Green - GSW,2-pt dunk,make,0,K. Thompson - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,148,GSW,S. Curry makes 2-pt jump shot from 4 ft (assist by D. Green),44,WAS,,55,S. Curry - GSW,2-pt jump shot,make,4,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,37,GSW,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),47,WAS,,61,K. Thompson - GSW,3-pt jump shot,make,27,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,2,23,GSW,A. Iguodala makes 2-pt dunk at rim (assist by D. Green),49,WAS,,61,A. Iguodala - GSW,2-pt dunk,make,0,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,678,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),52,WAS,,63,S. Curry - GSW,3-pt jump shot,make,25,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,577,GSW,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Thompson),59,WAS,,63,Z. Pachulia - GSW,2-pt layup,make,1,K. Thompson - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,549,GSW,S. Curry makes 2-pt jump shot from 19 ft (assist by D. Green),61,WAS,,65,S. Curry - GSW,2-pt jump shot,make,19,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,449,GSW,S. Curry makes 2-pt layup at rim (assist by D. Green),63,WAS,,69,S. Curry - GSW,2-pt layup,make,0,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,415,GSW,P. McCaw makes 3-pt jump shot from 26 ft (assist by D. Green),66,WAS,,69,P. McCaw - GSW,3-pt jump shot,make,26,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,329,GSW,D. Green makes 2-pt dunk at rim (assist by S. Curry),70,WAS,,72,D. Green - GSW,2-pt dunk,make,0,S. Curry - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,298,GSW,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),72,WAS,,75,S. Curry - GSW,2-pt layup,make,1,D. Green - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,3,63,GSW,S. Curry makes 3-pt jump shot from 26 ft (assist by S. Livingston),85,WAS,,85,S. Curry - GSW,3-pt jump shot,make,26,S. Livingston - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,305,GSW,P. McCaw makes 2-pt layup from 2 ft (assist by S. Curry),96,WAS,,95,P. McCaw - GSW,2-pt layup,make,2,S. Curry - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,137,GSW,D. Green makes 3-pt jump shot from 23 ft (assist by S. Livingston),103,WAS,,102,D. Green - GSW,3-pt jump shot,make,23,S. Livingston - GSW
regular,Verizon Center Washington District of Columbia,February 28 2017,7:00 PM,WAS,4,64,GSW,D. Green makes 3-pt jump shot from 27 ft (assist by A. Iguodala),106,WAS,,106,D. Green - GSW,3-pt jump shot,make,27,A. Iguodala - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,657,GSW,D. Green makes 2-pt layup from 3 ft (assist by P. McCaw),2,SAS,,2,D. Green - GSW,2-pt layup,make,3,P. McCaw - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,562,GSW,K. Durant makes 2-pt jump shot from 3 ft (assist by S. Curry),4,SAS,,4,K. Durant - GSW,2-pt jump shot,make,3,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,348,GSW,P. McCaw makes 3-pt jump shot from 24 ft (assist by K. Durant),19,SAS,,7,P. McCaw - GSW,3-pt jump shot,make,24,K. Durant - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,323,GSW,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),21,SAS,,7,S. Curry - GSW,2-pt layup,make,3,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,159,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),24,SAS,,15,S. Curry - GSW,3-pt jump shot,make,25,A. Iguodala - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,79,GSW,D. Green makes 3-pt jump shot from 25 ft (assist by S. Livingston),27,SAS,,17,D. Green - GSW,3-pt jump shot,make,25,S. Livingston - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,1,48,GSW,J. McGee makes 2-pt dunk at rim (assist by S. Curry),29,SAS,,17,J. McGee - GSW,2-pt dunk,make,0,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,700,GSW,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),33,SAS,,19,K. Thompson - GSW,2-pt jump shot,make,15,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,500,GSW,K. Durant makes 2-pt jump shot from 11 ft (assist by D. West),38,SAS,,29,K. Durant - GSW,2-pt jump shot,make,11,D. West - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,429,GSW,I. Clark makes 3-pt jump shot from 25 ft (assist by A. Iguodala),43,SAS,,32,I. Clark - GSW,3-pt jump shot,make,25,A. Iguodala - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,389,GSW,I. Clark makes 2-pt jump shot from 8 ft (assist by K. Thompson),45,SAS,,32,I. Clark - GSW,2-pt jump shot,make,8,K. Thompson - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,348,GSW,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),49,SAS,,32,K. Durant - GSW,2-pt jump shot,make,18,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,294,GSW,D. West makes 2-pt dunk at rim (assist by S. Livingston),51,SAS,,32,D. West - GSW,2-pt dunk,make,0,S. Livingston - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,141,GSW,D. Green makes 2-pt dunk at rim (assist by K. Durant),59,SAS,,44,D. Green - GSW,2-pt dunk,make,0,K. Durant - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,93,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),62,SAS,,46,S. Curry - GSW,3-pt jump shot,make,25,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,2,69,GSW,S. Curry makes 2-pt jump shot from 7 ft (assist by D. Green),64,SAS,,49,S. Curry - GSW,2-pt jump shot,make,7,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,701,GSW,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),68,SAS,,51,K. Thompson - GSW,3-pt jump shot,make,25,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,633,GSW,P. McCaw makes 3-pt jump shot from 23 ft (assist by S. Curry),71,SAS,,53,P. McCaw - GSW,3-pt jump shot,make,23,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,545,GSW,K. Durant makes 3-pt jump shot from 25 ft (assist by P. McCaw),76,SAS,,56,K. Durant - GSW,3-pt jump shot,make,25,P. McCaw - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,361,GSW,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),80,SAS,,62,S. Curry - GSW,2-pt layup,make,2,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,268,GSW,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),82,SAS,,66,K. Thompson - GSW,2-pt layup,make,2,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,211,GSW,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),85,SAS,,71,S. Curry - GSW,3-pt jump shot,make,24,K. Durant - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,3,109,GSW,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),90,SAS,,75,D. Green - GSW,3-pt jump shot,make,24,S. Curry - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,632,GSW,A. Iguodala makes 2-pt layup from 2 ft (assist by I. Clark),98,SAS,,82,A. Iguodala - GSW,2-pt layup,make,2,I. Clark - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,564,GSW,A. Iguodala makes 2-pt layup from 2 ft (assist by I. Clark),103,SAS,,84,A. Iguodala - GSW,2-pt layup,make,2,I. Clark - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,414,GSW,D. West makes 2-pt jump shot from 18 ft (assist by A. Iguodala),110,SAS,,94,D. West - GSW,2-pt jump shot,make,18,A. Iguodala - GSW
